paper:title,paper:doi,paper:research_field,orkg:P78000,orkg:P78001,orkg:P78002,orkg:P78003,orkg:P78005,orkg:P78006,orkg:P78007,orkg:P78008,orkg:P78009,orkg:P78010,orkg:P78011,orkg:P78012,orkg:P78013,orkg:P78014,orkg:P78015
Jorge_2008_ArchGenPsychiatry_18316673.pdf,10.1001/archgenpsychiatry.2007.45,R61,orkg:R254150,10,orkg:R254178,MLTH_AW,orkg:R254307,50.0,5_10,,,orkg:R254311,orkg:R254326,orkg:R254353,70,,site: left DLPC; th_strat: MLS-PEST ref 27
Jorge_2008_ArchGenPsychiatry_18316673.pdf,10.1001/archgenpsychiatry.2007.45,R61,orkg:R254150,10,orkg:R254178,MLTH_AW,orkg:R254307,50.0,5_10,,,orkg:R254311,orkg:R254326,orkg:R254353,70,,site: left prefrontal cortex; th_strat: MLS-PEST ref 27
Khedr_2008_JNeurolNeurosurgPsychiatry_18202212.pdf,10.1136/jnnp.2007.127712,R61,orkg:R254150,1,orkg:R254179,CITE,,,,,,,,orkg:R254353,90,,coil_siz: external loop diameter
Khedr_2008_JNeurolNeurosurgPsychiatry_18202212.pdf,10.1136/jnnp.2007.127712,R61,orkg:R254150,10,orkg:R254179,CITE,,,,,,,,orkg:R254353,90,,coil_siz: external loop diameter
Khedr_2008_JNeurolNeurosurgPsychiatry_18202212.pdf,10.1136/jnnp.2007.127712,R61,orkg:R254150,25,orkg:R254179,CITE,,,,,,,,orkg:R254353,90,,coil_siz: external loop diameter
Knapp_2008_JAffectDisord_18262655.pdf,10.1016/j.jad.2008.01.001,R61,orkg:R254150,10,orkg:R254179,,,,,,,orkg:R254311,orkg:R254326,,,,
Koch_2008_MultScler_18573820.pdf,10.1177/1352458508088710,R61,orkg:R254150,5,orkg:R254178,orkg:R254301,orkg:R254307,50.0,3_5,,,orkg:R254311,orkg:R254325,orkg:R254353,90,,
Langguth_2008_ExpBrainRes_18066684.pdf,10.1007/s00221-007-1228-1,R61,orkg:R254150,1,orkg:R254178,orkg:R254301,orkg:R254307,50.0,5_10,,47.74,orkg:R254310,,orkg:R254353,90,,coil_siz: outer diameter; site: left auditory cortex
Langguth_2008_ExpBrainRes_18066684.pdf,10.1007/s00221-007-1228-1,R61,orkg:R254150,1,orkg:R254178,orkg:R254301,orkg:R254307,50.0,5_10,,47.96,orkg:R254310,,orkg:R254353,90,,coil_siz: outer diameter; site: left auditory cortex; protocol: main
Langguth_2008_ExpBrainRes_18066684.pdf,10.1007/s00221-007-1228-1,R61,orkg:R254150,6,orkg:R254178,orkg:R254301,orkg:R254307,50.0,5_10,,39.24,orkg:R254310,,orkg:R254353,90,,coil_siz: outer diameter; site: left auditory cortex; protocol: priming
Merabet_2008_plosOne_18728773.pdf,10.1371/journal.pone.0003046,R61,orkg:R254150,1,orkg:R254179,,,,,,,orkg:R254311,orkg:R254325,orkg:R254353,70,,group: blindfolded
Merabet_2008_plosOne_18728773.pdf,10.1371/journal.pone.0003046,R61,orkg:R254150,1,orkg:R254179,,,,,,,orkg:R254311,orkg:R254325,orkg:R254353,70,,group: non-blindfolded
Miller_2008_NeuroImage_17936014.pdf,10.1016/j.neuroimage.2007.08.023,R61,orkg:R254150,1,orkg:R254179,orkg:R254301,orkg:R254308,,5_10,,52.0,orkg:R254313,orkg:R254328,orkg:R254353,70,,site: left MFG
Miller_2008_NeuroImage_17936014.pdf,10.1016/j.neuroimage.2007.08.023,R61,orkg:R254150,1,orkg:R254179,orkg:R254301,orkg:R254308,,5_10,,51.0,orkg:R254313,orkg:R254328,orkg:R254353,70,,site: left SMG
Uddï¼¯_2008_BrainRes_18617159.pdf,10.1016/j.brainres.2008.05.070,R61,orkg:R254150,1,orkg:R254178,,orkg:R254307,50.0,5_10,,,orkg:R254311,,orkg:R254353,70,,site: left IFG
Uddï¼¯_2008_BrainRes_18617159.pdf,10.1016/j.brainres.2008.05.070,R61,orkg:R254150,1,orkg:R254178,,orkg:R254307,50.0,5_10,,,orkg:R254311,,orkg:R254353,70,,site: right IFG
Zanette_2008_JNeurolSci_18304580.pdf,10.1016/j.jns.2008.01.011,R61,orkg:R254150,5,orkg:R254178,,,,,,,orkg:R254311,orkg:R254326,orkg:R254353,,,site: left MC - upper-limb
Zanette_2008_JNeurolSci_18304580.pdf,10.1016/j.jns.2008.01.011,R61,orkg:R254150,5,orkg:R254178,,,,,,,orkg:R254311,orkg:R254326,orkg:R254353,,,site: right MC - upper-limb
Zanette_2008_JNeurolSci_18304580.pdf,10.1016/j.jns.2008.01.011,R61,orkg:R254150,5,orkg:R254178,,,,,,,orkg:R254311,orkg:R254326,orkg:R254354,,,site: left MC - lower-limb
Zanette_2008_JNeurolSci_18304580.pdf,10.1016/j.jns.2008.01.011,R61,orkg:R254150,5,orkg:R254178,,,,,,,orkg:R254311,orkg:R254326,orkg:R254354,,,site: right MC - lower-limb
Alexander_2009_ExpBrainRes_18665355.pdf,10.1007/s00221-008-1508-4,R61,orkg:R254150,10,orkg:R254182,,,,,,72.5,orkg:R254311,orkg:R254326,orkg:R254353,70,,site: V5; group: blind; mso: 65 + 75-80%
Alexander_2009_ExpBrainRes_18665355.pdf,10.1007/s00221-008-1508-4,R61,orkg:R254150,10,orkg:R254182,,,,,,72.5,orkg:R254311,orkg:R254326,orkg:R254353,70,,site: V3; group: blind; mso: 65 + 75-80%
Alexander_2009_ExpBrainRes_18665355.pdf,10.1007/s00221-008-1508-4,R61,orkg:R254150,10,orkg:R254182,,,,,,65.0,orkg:R254311,orkg:R254326,orkg:R254353,70,,site: V5; group: healthy
Alexander_2009_ExpBrainRes_18665355.pdf,10.1007/s00221-008-1508-4,R61,orkg:R254150,10,orkg:R254182,,,,,,65.0,orkg:R254311,orkg:R254326,orkg:R254353,70,,site: V3; group: healthy
Aoyama_2009_NeurosciRes_18992287.pdf,10.1016/j.neures.2008.10.003,R61,orkg:R254150,1,orkg:R254178,orkg:R254301,orkg:R254307,50.0,5_10,,53.8,orkg:R254310,orkg:R254323,orkg:R254353,,orkg:R254359,MSO individual: Table 1;coil-scalp distance: 15 mm; mso: defined at 0 mm and 100 RMT
Aoyama_2009_NeurosciRes_18992287.pdf,10.1016/j.neures.2008.10.003,R61,orkg:R254150,1,orkg:R254178,orkg:R254301,orkg:R254307,50.0,5_10,,53.8,orkg:R254310,orkg:R254323,orkg:R254353,,orkg:R254359,MSO individual: Table 1;coil-scalp distance: 25 mm; mso: defined at 0 mm and 100 RMT
Aoyama_2009_NeurosciRes_18992287.pdf,10.1016/j.neures.2008.10.003,R61,orkg:R254150,1,orkg:R254178,orkg:R254301,orkg:R254307,50.0,5_10,,53.8,orkg:R254310,orkg:R254323,orkg:R254353,,orkg:R254359,MSO individual: Table 1;coil-scalp distance: 35 mm; mso: defined at 0 mm and 100 RMT
DiLazzaro_2009_NeurosciLett_19682544.pdf,10.1016/j.neulet.2009.08.020,R61,orkg:R254154,,orkg:R254177,orkg:R254301,orkg:R254307,200.0,5_10,,,orkg:R254310,orkg:R254323,orkg:R254353,,orkg:R254361,protocol: bilateral; site: left hand motor area 
DiLazzaro_2009_NeurosciLett_19682544.pdf,10.1016/j.neulet.2009.08.020,R61,orkg:R254154,,orkg:R254177,orkg:R254301,orkg:R254307,200.0,5_10,,,orkg:R254310,orkg:R254323,orkg:R254353,,orkg:R254361,protocol: bilateral; site: right hand motor area 
Dresler_2009_WorldJBiolPsychiatry_19396702.pdf,10.1080/15622970902898147,R61,orkg:R254150,10,orkg:R254179,,,,,,,,,,,,device information: not reported
Kozel_2009_Neuroimage_19446635.pdf,10.1016/j.neuroimage.2009.05.016,R61,orkg:R254150,1,orkg:R254179,orkg:R254306,,,,,,orkg:R254313,orkg:R254338,,,,"site: Motor cortex, MSO max: 100%"
Kozel_2009_Neuroimage_19446635.pdf,10.1016/j.neuroimage.2009.05.016,R61,orkg:R254150,1,orkg:R254179,orkg:R254306,,,,,,orkg:R254313,orkg:R254338,,,,"site: Prefrontal cortex, MSO max: 100%"
Martin_2009_BrainLang_19695692.pdf,10.1016/j.bandl.2009.07.007,R61,orkg:R254150,1,orkg:R254179,,orkg:R254308,,5_10,,,,,orkg:R254353,70,,"multiple sites: M1, Mouth, PTr anterior, PTr posterior, Pop; experiment: pilot"
Martin_2009_BrainLang_19695692.pdf,10.1016/j.bandl.2009.07.007,R61,orkg:R254150,1,orkg:R254179,,orkg:R254308,,5_10,,,,,orkg:R254353,70,,site: PTr anterior (Patient 2= poor responder); PTr posterior (Patient 1= good responder); experiment: main
