paper:title,paper:doi,paper:research_field,orkg:P78000,orkg:P78001,orkg:P78002,orkg:P78003,orkg:P78005,orkg:P78006,orkg:P78007,orkg:P78008,orkg:P78009,orkg:P78010,orkg:P78011,orkg:P78012,orkg:P78013,orkg:P78014,orkg:P78015
Lï½¢pez-Alonso_2014_BrainStimul_24630849.pdf,10.1016/j.brs.2014.02.004,R61,orkg:R254175,,orkg:R254177,orkg:R254301,orkg:R254307,200.0,5_10,0.1,,orkg:R254311,orkg:R254326,orkg:R254353,,,
Momosaki_2014_CaseRepNeurol_24803904.pdf,10.1159/000360936,R61,orkg:R254150,3,orkg:R254178,,,,,,,orkg:R254314,orkg:R254341,orkg:R254353,70,,site: L
Momosaki_2014_CaseRepNeurol_24803904.pdf,10.1159/000360936,R61,orkg:R254150,3,orkg:R254178,,,,,,,orkg:R254314,orkg:R254341,orkg:R254353,70,,site: R
Nauczyciel_2014_TranslPsychiatry_25203167.pdf,10.1038/tp.2014.62,R61,orkg:R254150,1,orkg:R254179,orkg:R254301,orkg:R254308,,,,,orkg:R254310,orkg:R254337,orkg:R254353,,orkg:R254380,
Rose_2014_StrokeResTreat_25197611.pdf,10.1155/2014/305236,R61,orkg:R254150,1,orkg:R254178,orkg:R254301,orkg:R254307,50.0,6_10,,42.6,orkg:R254311,orkg:R254340,orkg:R254353,70,orkg:R254364,mso: Table 3
Tsutsumi_2014_JNeurophysiol_24108795.pdf,10.1152/jn.00515.2013,R61,orkg:R254176,,orkg:R254177,orkg:R254301,orkg:R254307,100.0,5_10,5-10%,29.88,orkg:R254311,orkg:R254331,,,,stim_mo: combines 4 stimulators; protocol: QPS-5; multiple experiments
Tsutsumi_2014_JNeurophysiol_24108795.pdf,10.1152/jn.00515.2013,R61,orkg:R254176,,orkg:R254177,orkg:R254301,orkg:R254307,100.0,5_10,5-10%,27.81,orkg:R254311,orkg:R254331,,,,stim_mo: combines 4 stimulators; protocol: QPS-50;  multiple experiments
Yamada_2014_EurNeurol_25323412.pdf,10.1159/000365005,R61,orkg:R254150,1,orkg:R254178,,,,,,,orkg:R254314,orkg:R254341,orkg:R254353,70,,group: BoNT-A + rTMS + OT
Yamada_2014_EurNeurol_25323412.pdf,10.1159/000365005,R61,orkg:R254150,1,orkg:R254178,,,,,,,orkg:R254314,orkg:R254341,orkg:R254353,70,,group: rTMS + OT
Young-Bernier_2014_FrontAgingNeurosci_25147523.pdf,10.3389/fnagi.2014.00182,R61,orkg:R254175,,orkg:R254177,,,,,15-20%,,orkg:R254311,orkg:R254340,orkg:R254353,90,,coil_siz: inside-loop diameter
Baeken_2015_BrainStimul_25744500.pdf,10.1016/j.brs.2015.01.415,R61,orkg:R254150,20,orkg:R254179,,orkg:R254307,,,,,orkg:R254311,orkg:R254322,orkg:R254353,,,
Bharath_2015_EurJNeurol_25623591.pdf,10.1111/ene.12653,R61,orkg:R254150,1,orkg:R254178,,orkg:R254307,50.0,5_10,,,orkg:R254311,orkg:R254326,orkg:R254353,,,
Candidi_2015_Cortex_25835522.pdf,10.1016/j.cortex.2015.01.012,R61,orkg:R254150,1,orkg:R254178,orkg:R254301,orkg:R254307,50.0,5_10,,47.7,orkg:R254311,orkg:R254326,orkg:R254353,,,site: right pSTS
Chen_2015_Neuromodulation_26307511.pdf,10.1111/ner.12337,R61,orkg:R254150,1,orkg:R254178,orkg:R254301,orkg:R254307,50.0,3_5,,45.243,orkg:R254311,orkg:R254340,orkg:R254353,70,orkg:R254379,"site: M1, 1200 pulses; mso: measured by rTMS coil"
Chen_2015_Neuromodulation_26307511.pdf,10.1111/ner.12337,R61,orkg:R254150,1,orkg:R254178,orkg:R254301,orkg:R254307,50.0,3_5,,45.243,orkg:R254311,orkg:R254340,orkg:R254353,70,orkg:R254379,"site: PMC, 1200 pulses; mso: measured by rTMS coil"
Chen_2015_Neuromodulation_26307511.pdf,10.1111/ner.12337,R61,orkg:R254150,1,orkg:R254178,orkg:R254301,orkg:R254307,50.0,3_5,,45.243,orkg:R254311,orkg:R254340,orkg:R254353,70,orkg:R254379,"site: M1, 600 pulses; protocol: sequential; mso: measured by rTMS coil"
Chen_2015_Neuromodulation_26307511.pdf,10.1111/ner.12337,R61,orkg:R254150,1,orkg:R254178,orkg:R254301,orkg:R254307,50.0,3_5,,45.243,orkg:R254311,orkg:R254340,orkg:R254353,70,orkg:R254379,"site: PMC, 600 pulses; protocol: sequential; mso: measured by rTMS coil"
Demirtas-Tatlidede_2015_NeuroRehabilitation_25547768.pdf,10.3233/NRE-141191,R61,orkg:R254150,1,orkg:R254178,orkg:R254301,orkg:R254307,50.0,5_10,,,orkg:R254311,orkg:R254326,orkg:R254353,,,
